XOR V1, pulse= 00, i= 13531, temp= 25
XOR V1, pulse= 01, i= 12090, temp= 25
XOR V1, pulse= 10, i= 61804, temp= 25
XOR V1, pulse= 11, i= 25024, temp= 25
XOR V2, pulse= 00, i= 26392, temp= 25
XOR V2, pulse= 01, i= 37, temp= 25
XOR V2, pulse= 10, i= 37, temp= 25
XOR V2, pulse= 11, i= 8074, temp= 25
XOR V3, pulse= 00, i= 9185, temp= 25
XOR V3, pulse= 01, i= 111463, temp= 25
XOR V3, pulse= 10, i= 191495, temp= 25
XOR V3, pulse= 11, i= 2, temp= 25
XOR V4, pulse= 00, i= 1, temp= 25
XOR V4, pulse= 01, i= 1, temp= 25
XOR V4, pulse= 10, i= 1, temp= 25
XOR V4, pulse= 11, i= 1, temp= 25
XOR V5, pulse= 00, i= 1, temp= 25
XOR V5, pulse= 01, i= 1, temp= 25
XOR V5, pulse= 10, i= 1, temp= 25
XOR V5, pulse= 11, i= 1, temp= 25
XOR V6, pulse= 00, i= 1, temp= 25
XOR V6, pulse= 01, i= 1, temp= 25
XOR V6, pulse= 10, i= 1, temp= 25
XOR V6, pulse= 11, i= 1, temp= 25
XOR V7, pulse= 00, i= 1, temp= 25
XOR V7, pulse= 01, i= 1, temp= 25
XOR V7, pulse= 10, i= 1, temp= 25
XOR V7, pulse= 11, i= 1, temp= 25
XOR V8, pulse= 00, i= 1, temp= 25
XOR V8, pulse= 01, i= 1, temp= 25
XOR V8, pulse= 10, i= 1, temp= 25
XOR V8, pulse= 11, i= 1, temp= 25
XOR V9, pulse= 00, i= 1, temp= 25
XOR V9, pulse= 01, i= 1, temp= 25
XOR V9, pulse= 10, i= 1, temp= 25
XOR V9, pulse= 11, i= 1, temp= 25
XOR V1, pulse= 00, i= 1, temp= 50
XOR V1, pulse= 01, i= 1, temp= 50
XOR V1, pulse= 10, i= 1, temp= 50
XOR V1, pulse= 11, i= 1, temp= 50
XOR V2, pulse= 00, i= 1, temp= 50
XOR V2, pulse= 01, i= 1, temp= 50
XOR V2, pulse= 10, i= 1, temp= 50
XOR V2, pulse= 11, i= 1, temp= 50
XOR V3, pulse= 00, i= 1, temp= 50
XOR V3, pulse= 01, i= 1, temp= 50
XOR V3, pulse= 10, i= 1, temp= 50
XOR V3, pulse= 11, i= 1, temp= 50
XOR V4, pulse= 00, i= 1, temp= 50
XOR V4, pulse= 01, i= 1, temp= 50
XOR V4, pulse= 10, i= 1, temp= 50
XOR V4, pulse= 11, i= 1, temp= 50
XOR V5, pulse= 00, i= 1, temp= 50
XOR V5, pulse= 01, i= 1, temp= 50
XOR V5, pulse= 10, i= 1, temp= 50
XOR V5, pulse= 11, i= 1, temp= 50
XOR V6, pulse= 00, i= 1, temp= 50
XOR V6, pulse= 01, i= 1, temp= 50
XOR V6, pulse= 10, i= 1, temp= 50
XOR V6, pulse= 11, i= 1, temp= 50
XOR V7, pulse= 00, i= 1, temp= 50
XOR V7, pulse= 01, i= 1, temp= 50
XOR V7, pulse= 10, i= 1, temp= 50
XOR V7, pulse= 11, i= 1, temp= 50
XOR V8, pulse= 00, i= 1, temp= 50
XOR V8, pulse= 01, i= 1, temp= 50
XOR V8, pulse= 10, i= 1, temp= 50
XOR V8, pulse= 11, i= 1, temp= 50
XOR V9, pulse= 00, i= 2, temp= 50
XOR V9, pulse= 01, i= 2, temp= 50
XOR V9, pulse= 10, i= 1, temp= 50
XOR V9, pulse= 11, i= 1, temp= 50
XOR V1, pulse= 00, i= 1, temp= 75
XOR V1, pulse= 01, i= 1, temp= 75
XOR V1, pulse= 10, i= 1, temp= 75
XOR V1, pulse= 11, i= 1, temp= 75
XOR V2, pulse= 00, i= 1, temp= 75
XOR V2, pulse= 01, i= 1, temp= 75
XOR V2, pulse= 10, i= 1, temp= 75
XOR V2, pulse= 11, i= 1, temp= 75
XOR V3, pulse= 00, i= 1, temp= 75
XOR V3, pulse= 01, i= 1, temp= 75
XOR V3, pulse= 10, i= 1, temp= 75
XOR V3, pulse= 11, i= 1, temp= 75
XOR V4, pulse= 00, i= 1, temp= 75
XOR V4, pulse= 01, i= 1, temp= 75
XOR V4, pulse= 10, i= 1, temp= 75
XOR V4, pulse= 11, i= 1, temp= 75
XOR V5, pulse= 00, i= 1, temp= 75
XOR V5, pulse= 01, i= 1, temp= 75
XOR V5, pulse= 10, i= 1, temp= 75
XOR V5, pulse= 11, i= 1, temp= 75
XOR V6, pulse= 00, i= 1, temp= 75
XOR V6, pulse= 01, i= 1, temp= 75
XOR V6, pulse= 10, i= 1, temp= 75
XOR V6, pulse= 11, i= 1, temp= 75
XOR V7, pulse= 00, i= 1, temp= 75
XOR V7, pulse= 01, i= 1, temp= 75
XOR V7, pulse= 10, i= 1, temp= 75
XOR V7, pulse= 11, i= 1, temp= 75
XOR V8, pulse= 00, i= 1, temp= 75
XOR V8, pulse= 01, i= 1, temp= 75
XOR V8, pulse= 10, i= 1, temp= 75
XOR V8, pulse= 11, i= 1, temp= 75
XOR V9, pulse= 00, i= 1, temp= 75
XOR V9, pulse= 01, i= 1, temp= 75
XOR V9, pulse= 10, i= 1, temp= 75
XOR V9, pulse= 11, i= 1, temp= 75
XOR V1, pulse= 00, i= 1, temp= 100
XOR V1, pulse= 01, i= 1, temp= 100
XOR V1, pulse= 10, i= 1, temp= 100
XOR V1, pulse= 11, i= 1, temp= 100
XOR V2, pulse= 00, i= 1, temp= 100
XOR V2, pulse= 01, i= 1, temp= 100
XOR V2, pulse= 10, i= 1, temp= 100
XOR V2, pulse= 11, i= 1, temp= 100
XOR V3, pulse= 00, i= 1, temp= 100
XOR V3, pulse= 01, i= 1, temp= 100
XOR V3, pulse= 10, i= 1, temp= 100
XOR V3, pulse= 11, i= 1, temp= 100
XOR V4, pulse= 00, i= 1, temp= 100
XOR V4, pulse= 01, i= 1, temp= 100
XOR V4, pulse= 10, i= 1, temp= 100
XOR V4, pulse= 11, i= 1, temp= 100
XOR V5, pulse= 00, i= 1, temp= 100
XOR V5, pulse= 01, i= 1, temp= 100
XOR V5, pulse= 10, i= 1, temp= 100
XOR V5, pulse= 11, i= 1, temp= 100
XOR V6, pulse= 00, i= 1, temp= 100
XOR V6, pulse= 01, i= 1, temp= 100
XOR V6, pulse= 10, i= 1, temp= 100
XOR V6, pulse= 11, i= 1, temp= 100
XOR V7, pulse= 00, i= 1, temp= 100
XOR V7, pulse= 01, i= 1, temp= 100
XOR V7, pulse= 10, i= 1, temp= 100
XOR V7, pulse= 11, i= 1, temp= 100
XOR V8, pulse= 00, i= 1, temp= 100
XOR V8, pulse= 01, i= 1, temp= 100
XOR V8, pulse= 10, i= 1, temp= 100
XOR V8, pulse= 11, i= 1, temp= 100
XOR V9, pulse= 00, i= 1, temp= 100
XOR V9, pulse= 01, i= 1, temp= 100
XOR V9, pulse= 10, i= 1, temp= 100
XOR V9, pulse= 11, i= 1, temp= 100
XOR V1, pulse= 00, i= 1, temp= 125
XOR V1, pulse= 01, i= 1, temp= 125
XOR V1, pulse= 10, i= 1, temp= 125
XOR V1, pulse= 11, i= 1, temp= 125
XOR V2, pulse= 00, i= 1, temp= 125
XOR V2, pulse= 01, i= 1, temp= 125
XOR V2, pulse= 10, i= 1, temp= 125
XOR V2, pulse= 11, i= 1, temp= 125
XOR V3, pulse= 00, i= 1, temp= 125
XOR V3, pulse= 01, i= 1, temp= 125
XOR V3, pulse= 10, i= 1, temp= 125
XOR V3, pulse= 11, i= 1, temp= 125
XOR V4, pulse= 00, i= 1, temp= 125
XOR V4, pulse= 01, i= 1, temp= 125
XOR V4, pulse= 10, i= 1, temp= 125
XOR V4, pulse= 11, i= 1, temp= 125
XOR V5, pulse= 00, i= 1, temp= 125
XOR V5, pulse= 01, i= 1, temp= 125
XOR V5, pulse= 10, i= 1, temp= 125
XOR V5, pulse= 11, i= 1, temp= 125
XOR V6, pulse= 00, i= 1, temp= 125
XOR V6, pulse= 01, i= 1, temp= 125
XOR V6, pulse= 10, i= 1, temp= 125
XOR V6, pulse= 11, i= 1, temp= 125
XOR V7, pulse= 00, i= 1, temp= 125
XOR V7, pulse= 01, i= 1, temp= 125
XOR V7, pulse= 10, i= 1, temp= 125
XOR V7, pulse= 11, i= 1, temp= 125
XOR V8, pulse= 00, i= 1, temp= 125
XOR V8, pulse= 01, i= 1, temp= 125
XOR V8, pulse= 10, i= 1, temp= 125
XOR V8, pulse= 11, i= 1, temp= 125
XOR V9, pulse= 00, i= 1, temp= 125
XOR V9, pulse= 01, i= 1, temp= 125
XOR V9, pulse= 10, i= 1, temp= 125
XOR V9, pulse= 11, i= 1, temp= 125

