XOR V1, pulse= 00, i= 59, temp= 25
XOR V1, pulse= 01, i= 50, temp= 25
XOR V1, pulse= 10, i= 50, temp= 25
XOR V1, pulse= 11, i= 59, temp= 25
XOR V2, pulse= 00, i= 95, temp= 25
XOR V2, pulse= 01, i= 83, temp= 25
XOR V2, pulse= 10, i= 83, temp= 25
XOR V2, pulse= 11, i= 95, temp= 25
XOR V3, pulse= 00, i= 59, temp= 25
XOR V3, pulse= 01, i= 60, temp= 25
XOR V3, pulse= 10, i= 61, temp= 25
XOR V3, pulse= 11, i= 119, temp= 25
XOR V4, pulse= 00, i= 59, temp= 25
XOR V4, pulse= 01, i= 60, temp= 25
XOR V4, pulse= 10, i= 50, temp= 25
XOR V4, pulse= 11, i= 68, temp= 25
XOR V5, pulse= 00, i= 67, temp= 25
XOR V5, pulse= 01, i= 60, temp= 25
XOR V5, pulse= 10, i= 60, temp= 25
XOR V5, pulse= 11, i= 67, temp= 25
XOR V6, pulse= 00, i= 95, temp= 25
XOR V6, pulse= 01, i= 84, temp= 25
XOR V6, pulse= 10, i= 83, temp= 25
XOR V6, pulse= 11, i= 95, temp= 25
XOR V7, pulse= 00, i= 95, temp= 25
XOR V7, pulse= 01, i= 84, temp= 25
XOR V7, pulse= 10, i= 83, temp= 25
XOR V7, pulse= 11, i= 95, temp= 25
XOR V8, pulse= 00, i= 68, temp= 25
XOR V8, pulse= 01, i= 49, temp= 25
XOR V8, pulse= 10, i= 61, temp= 25
XOR V8, pulse= 11, i= 59, temp= 25
XOR V9, pulse= 00, i= 95, temp= 25
XOR V9, pulse= 01, i= 84, temp= 25
XOR V9, pulse= 10, i= 83, temp= 25
XOR V9, pulse= 11, i= 95, temp= 25
XOR V1, pulse= 00, i= 60, temp= 50
XOR V1, pulse= 01, i= 50, temp= 50
XOR V1, pulse= 10, i= 50, temp= 50
XOR V1, pulse= 11, i= 60, temp= 50
XOR V2, pulse= 00, i= 98, temp= 50
XOR V2, pulse= 01, i= 86, temp= 50
XOR V2, pulse= 10, i= 86, temp= 50
XOR V2, pulse= 11, i= 98, temp= 50
XOR V3, pulse= 00, i= 59, temp= 50
XOR V3, pulse= 01, i= 61, temp= 50
XOR V3, pulse= 10, i= 61, temp= 50
XOR V3, pulse= 11, i= 121, temp= 50
XOR V4, pulse= 00, i= 59, temp= 50
XOR V4, pulse= 01, i= 61, temp= 50
XOR V4, pulse= 10, i= 50, temp= 50
XOR V4, pulse= 11, i= 70, temp= 50
XOR V5, pulse= 00, i= 69, temp= 50
XOR V5, pulse= 01, i= 61, temp= 50
XOR V5, pulse= 10, i= 61, temp= 50
XOR V5, pulse= 11, i= 69, temp= 50
XOR V6, pulse= 00, i= 98, temp= 50
XOR V6, pulse= 01, i= 86, temp= 50
XOR V6, pulse= 10, i= 86, temp= 50
XOR V6, pulse= 11, i= 98, temp= 50
XOR V7, pulse= 00, i= 98, temp= 50
XOR V7, pulse= 01, i= 86, temp= 50
XOR V7, pulse= 10, i= 86, temp= 50
XOR V7, pulse= 11, i= 98, temp= 50
XOR V8, pulse= 00, i= 70, temp= 50
XOR V8, pulse= 01, i= 50, temp= 50
XOR V8, pulse= 10, i= 62, temp= 50
XOR V8, pulse= 11, i= 59, temp= 50
XOR V9, pulse= 00, i= 98, temp= 50
